,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
0,2018020001.0,2018-10-03,MTL,TOR,0,0,3,2,26,36,1,2.0522,3.1802
1,2018020002.0,2018-10-03,BOS,WSH,0,0,7,0,37,25,1,1.6842,5.5144
2,2018020005.0,2018-10-04,BOS,BUF,0,1,0,4,32,26,0,2.7434,2.546
3,2018020006.0,2018-10-04,NSH,NYR,0,0,2,3,36,33,0,2.0332,2.6304
4,2018020007.0,2018-10-04,WSH,PIT,0,1,7,6,41,36,1,4.392,5.2604
5,2018020008.0,2018-10-04,NYI,CAR,0,0,1,2,46,20,0,1.6434,3.4090000000000003
6,2018020009.0,2018-10-04,CHI,OTT,0,0,3,4,25,43,0,2.7246,2.7534
7,2018020010.0,2018-10-04,CBJ,DET,0,0,2,3,20,39,0,3.5124,2.0988
8,2018020011.0,2018-10-04,WPG,STL,0,0,1,5,42,25,0,2.1071999999999997,4.9286
9,2018020012.0,2018-10-04,ARI,DAL,0,0,3,0,25,30,1,2.9156,2.5042
10,2018020013.0,2018-10-04,MIN,COL,0,0,4,1,40,21,1,1.6668,2.366
11,2018020014.0,2018-10-04,PHI,VGK,0,0,2,5,25,25,0,2.9466,2.9004
12,2018020015.0,2018-10-05,CAR,CBJ,1,1,1,3,32,35,0,2.6338,3.3933999999999997
13,2018020016.0,2018-10-05,SJS,LAK,0,0,2,3,21,33,0,2.6918,1.8566
14,2018020017.0,2018-10-06,NYR,BUF,0,0,3,1,29,44,1,2.5764,3.224
15,2018020018.0,2018-10-06,OTT,TOR,0,0,3,5,37,24,0,1.6692,2.6978
16,2018020019.0,2018-10-06,FLA,TBL,0,0,2,1,29,43,1,2.3242,1.5182
17,2018020020.0,2018-10-06,EDM,NJD,0,0,5,2,27,19,1,2.0694,2.9342
18,2018020022.0,2018-10-06,MTL,PIT,0,0,1,5,22,29,0,2.8548,3.0202
19,2018020023.0,2018-10-06,WPG,DAL,0,0,5,1,35,33,1,1.1908,3.4703999999999997
20,2018020024.0,2018-10-06,CHI,STL,0,0,4,5,30,30,0,2.4306,2.2148
21,2018020025.0,2018-10-06,VGK,MIN,0,0,1,2,30,42,0,3.062,1.523
22,2018020026.0,2018-10-06,PHI,COL,0,0,5,2,35,37,1,1.5648,4.3389999999999995
23,2018020027.0,2018-10-06,ANA,ARI,0,0,0,1,41,20,0,0.9766,2.7768
24,2018020029.0,2018-10-07,NYR,CAR,0,1,8,5,40,24,1,2.77,3.3894
25,2018020030.0,2018-10-07,TOR,CHI,1,1,6,7,31,34,0,3.0028,2.2058
26,2018020031.0,2018-10-07,DET,LAK,0,0,4,2,25,38,1,2.6282,2.0181999999999998
27,2018020032.0,2018-10-08,OTT,BOS,0,0,6,3,30,31,1,3.5938,3.1322
28,2018020034.0,2018-10-08,VGK,BUF,0,0,4,2,17,37,1,3.0814,1.9502
29,2018020035.0,2018-10-08,DET,ANA,0,1,3,2,27,21,1,1.8264,1.9624
30,2018020036.0,2018-10-09,SJS,PHI,0,0,2,8,33,48,0,5.183,2.2885999999999997
31,2018020037.0,2018-10-09,VAN,CAR,0,0,5,3,33,25,1,1.8254000000000001,2.6948
32,2018020038.0,2018-10-09,COL,CBJ,0,0,5,2,35,27,1,2.9366,3.6558
33,2018020039.0,2018-10-09,CGY,NSH,0,0,0,3,43,27,0,3.8704,2.424
34,2018020040.0,2018-10-09,LAK,WPG,0,0,2,1,39,17,1,1.3714,1.5888
35,2018020041.0,2018-10-09,TOR,DAL,0,0,4,7,34,30,0,3.3486,3.0768
36,2018020042.0,2018-10-10,PHI,OTT,0,1,4,7,35,45,0,4.2832,3.8636
37,2018020043.0,2018-10-10,VGK,WSH,0,0,5,2,29,31,1,4.1704,4.5902
38,2018020044.0,2018-10-10,ARI,ANA,0,0,2,3,25,39,0,1.9722,1.3908
39,2018020045.0,2018-10-11,EDM,BOS,0,0,4,1,32,26,1,2.3904,2.1790000000000003
40,2018020046.0,2018-10-11,COL,BUF,0,0,1,6,31,30,0,3.3916,2.2902
41,2018020047.0,2018-10-11,CBJ,FLA,0,0,4,5,41,32,0,3.9866,4.1158
42,2018020048.0,2018-10-11,WSH,NJD,0,1,6,0,36,21,1,1.4742,4.1434
43,2018020049.0,2018-10-11,SJS,NYR,0,0,3,2,27,43,1,3.3999,2.7992
44,2018020050.0,2018-10-11,VGK,PIT,0,1,4,2,22,37,1,4.209,1.8374
45,2018020051.0,2018-10-11,LAK,MTL,0,0,0,3,40,29,0,4.1676,3.232
46,2018020052.0,2018-10-11,TOR,DET,0,0,3,5,29,35,0,3.1066000000000003,1.901
47,2018020053.0,2018-10-11,VAN,TBL,0,0,1,4,34,28,0,2.3336,3.7634000000000003
48,2018020054.0,2018-10-11,CGY,STL,0,0,5,3,32,34,1,4.721,3.4826
49,2018020055.0,2018-10-11,WPG,NSH,0,0,3,0,30,29,1,1.7034,3.5183999999999997
50,2018020056.0,2018-10-11,CHI,MIN,0,0,4,3,46,30,1,3.2274000000000003,4.9814
51,2018020057.0,2018-10-13,EDM,NYR,0,0,1,2,24,27,0,1.8824,1.6856
52,2018020058.0,2018-10-13,VGK,PHI,0,0,0,1,26,21,0,1.3396,3.2148
53,2018020059.0,2018-10-13,LAK,OTT,0,0,5,1,22,37,1,1.9346,2.0656
54,2018020060.0,2018-10-13,CAR,MIN,0,0,4,5,23,57,0,4.8508,1.5692000000000002
55,2018020061.0,2018-10-13,DET,BOS,0,0,8,2,39,34,1,1.6344,3.8416
56,2018020062.0,2018-10-13,PIT,MTL,0,0,4,3,40,28,1,1.9088,3.6952
57,2018020063.0,2018-10-13,CBJ,TBL,0,0,8,2,31,32,1,3.7934,4.5134
58,2018020064.0,2018-10-13,VAN,FLA,0,0,2,3,26,30,0,3.1792000000000002,1.3826
59,2018020065.0,2018-10-13,TOR,WSH,0,0,2,4,27,28,0,4.0082,2.7672
60,2018020066.0,2018-10-13,NYI,NSH,0,0,5,2,29,22,1,2.104,2.6154
61,2018020067.0,2018-10-13,ANA,DAL,0,0,5,3,51,25,1,1.0732,5.3752
62,2018020068.0,2018-10-13,STL,CHI,0,0,4,3,50,38,1,3.3154,3.5626
63,2018020069.0,2018-10-13,BUF,ARI,0,0,0,3,36,23,0,1.2516,3.2472
64,2018020070.0,2018-10-13,CGY,COL,0,0,2,3,26,41,0,3.8514,1.868
65,2018020071.0,2018-10-14,SJS,NJD,0,0,3,2,36,39,1,3.029,3.6502
66,2018020072.0,2018-10-14,ANA,STL,1,1,2,3,31,31,0,3.3816,2.3424
67,2018020073.0,2018-10-14,CAR,WPG,0,1,3,1,26,43,1,4.575,2.5578
68,2018020074.0,2018-10-15,LAK,TOR,0,0,4,1,25,34,1,1.694,3.626
69,2018020075.0,2018-10-15,DET,MTL,0,0,7,3,35,28,1,2.1732,3.8486
70,2018020076.0,2018-10-15,DAL,OTT,0,0,4,1,24,38,1,3.6748,2.0096
71,2018020077.0,2018-10-15,MIN,NSH,0,0,4,2,28,31,1,1.9748,2.2016
72,2018020078.0,2018-10-16,DAL,NJD,0,1,3,0,34,24,1,1.8796,3.0356
73,2018020079.0,2018-10-16,COL,NYR,0,0,3,2,43,33,1,4.5606,3.7106000000000003
